National Park,State,CoStew, Year,Collab,notes
Acadia National Park,Maine,1,2015,1,
Arches National Park,Utah,0,,1,
Badlands National Park,South Dakota,1,1976,1,
Big Bend National Park,Texas,0,,0,
Biscayne National Park,Florida,1,2024,1,
Black Canyon of the Gunnison National Park,Colorado,0,,1,
Bryce Canyon National Park,Utah,0,,1,
Canyonlands National Park,Utah,0,,1,
Capitol Reef National Park,Utah,0,,1,
Carlsbad Caverns National Park,New Mexico,0,,1,
Channel Islands National Park,California,0,,1,
Congaree National Park,South Carolina,0,,1,?
Crater Lake National Park,Oregon,0,,1,
Cuyahoga Valley National Park,Ohio,0,,1,
Death Valley National Park,California and Nevada,1,2000,1,
Denali National Park,Alaska,1,2016,1,
Dry Tortugas National Park,Florida,0,,0,no evidence of indigenous ppl
Everglades National Park,Florida,1,2024,1,
Gates of the Arctic National Park,Alaska,1,,0,come back
Gateway Arch National Park,Missouri and Illinois,0,,1,
Glacier Bay National Park,Alaska,1,1994,1,
Glacier National Park,Montana,1,2026,1,
Grand Canyon National Park,Arizona,1,2013,1,
Grand Teton National Park,Wyoming,0,,1,
Great Basin National Park,Nevada,0,,1,
Great Sand Dunes National Park,Colorado,0,,1,
Great Smoky Mountains National Park,North Carolina and Tennessee,1,2019,1,
Guadalupe Mountains National Park,Texas,0,,1,
Haleakalā National Park,Hawaii,1,1995,1,
Hawai'i Volcanoes National Park,Hawaii,0,,1,
Hot Springs National Park,Arkansas,0,,1,
Indiana Dunes National Park,Indiana,1,2023,1,
Isle Royale National Park,Michigan,0,,1,come back
Joshua Tree National Park,California,1,2023,1,
Katmai National Park,Alaska,1,,1,come back
Kenai Fjords National Park,Alaska,1,,1,come back
Kings Canyon National Park,California,0,,1,
Kobuk Valley National Park,Alaska,0,,1,anilca
Lake Clark National Park,Alaska,0,,1,anilca
Lassen Volcanic National Park,California,0,,1,
Mammoth Cave National Park,Kentucky,0,,1,
Mesa Verde National Park,Colorado,0,,1,in the works
Mount Rainier National Park,Washington,1,1999,1,?
National Park of American Samoa,American Samoa,1,1993,1,
New River Gorge National Park and Preserve,West Virginia,0,,1,nagpra
North Cascades National Park,Washington,0,,1,treaty of point elliot?
Olympic National Park,Washington,1,,1,since founding
Petrified Forest National Park,Arizona,0,,1,
Pinnacles National Park,California,1,2013,1,
Redwood National Park,California,1,2024,0,
Rocky Mountain National Park,Colorado,1,2017,1,
Saguaro National Park,Arizona,1,2018,1,plants
Sequoia National Park,California,0,2017,1,burning?
Shenandoah National Park,Virginia,0,,1,treaty of albany?
Theodore Roosevelt National Park,North Dakota,0,,0,
Virgin Islands National Park,Virgin Islands,0,,0,
Voyageurs National Park,Minnesota,0,,0,in the works
White Sands National Park,New Mexico,0,2019,1,
Wind Cave National Park,South Dakota,0,,1,nagpra
Wrangell-St. Elias National Park,Alaska,0,,1,anilca
Yellowstone National Park,Idaho Montana and Wyoming,0,,1,
Yosemite National Park,California,0,,1,plants in the works
Zion National Park,Utah,1,1998,1,plants
